obligor_id,obligor_name,group_id,group_name,country,sector,as_of_date,rating_numeric,rating_band,prev_rating,rating_change,is_upgrade,is_downgrade,risk_score,leverage,interest_coverage,ebitda_margin,days_past_due,exposure_at_default,is_watchlist,is_default
1,Obligor_0001,8,Group_008,CN,Utilities,2020-03-30,5,Sub_IG,,,0,0,0.5,3.7671416273452096,3.19178803398387,0.18722805727558106,0,0.38119094845990625,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2020-06-30,5,Sub_IG,5.0,0.0,0,0,0.5,4.8873475632423204,3.794274451204462,0.15469226853057974,0,0.9458761437312088,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2020-09-30,5,Sub_IG,5.0,0.0,0,0,0.5,4.276085972906927,3.662439258444069,0.03580295925341188,2,0.5633237966800213,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2020-12-30,5,Sub_IG,5.0,0.0,0,0,0.5,3.8799802225188063,4.801237151291159,0.14059363423554938,1,0.16755582633916846,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2021-03-30,5,Sub_IG,5.0,0.0,0,0,0.5,3.470460033468876,3.0340908058243787,0.20571407895435764,1,0.2178310105025385,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2021-06-30,5,Sub_IG,5.0,0.0,0,0,0.5,4.246222008812522,2.1100510712969642,0.12482239226531658,0,0.21863780505660205,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2021-09-30,5,Sub_IG,5.0,0.0,0,0,0.5,3.9794891997472117,2.532128109864101,0.12941221210745066,0,0.37382596680291785,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2021-12-30,5,Sub_IG,5.0,0.0,0,0,0.5,3.4625195143549616,3.688843979983522,0.10162949192371326,0,0.35258536267332324,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2022-03-30,5,Sub_IG,5.0,0.0,0,0,0.5,3.4989074210704945,1.9304592536699428,0.19977555817357742,0,0.47891124093877857,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2022-06-30,5,Sub_IG,5.0,0.0,0,0,0.5,3.4298695198884426,2.9555860149325275,0.11685415268351748,0,1.2043006399017349,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2022-09-30,5,Sub_IG,5.0,0.0,0,0,0.5,3.305211070365284,3.5754163929741978,0.22957650079991518,0,0.670463852183062,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2022-12-30,4,Investment_Grade,5.0,-1.0,1,0,0.4,4.453823631980635,3.033407895356592,0.20576675234927133,1,0.3844428690004424,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2023-03-30,4,Investment_Grade,4.0,0.0,0,0,0.4,4.359575351034307,4.126853247753334,0.21459718325533686,0,0.2835859718615554,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2023-06-30,4,Investment_Grade,4.0,0.0,0,0,0.4,4.454972119470055,4.524411762348285,0.15200866943627311,0,0.8883205832290255,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2023-09-30,4,Investment_Grade,4.0,0.0,0,0,0.4,3.803149684137967,4.254908599952674,0.12368369003346175,0,0.7088314886198689,0,0
1,Obligor_0001,8,Group_008,CN,Utilities,2023-12-30,4,Investment_Grade,4.0,0.0,0,0,0.4,3.6301598485398907,2.252495039947772,0.1719212536124738,1,1.6384240372159686,0,0
2,Obligor_0002,7,Group_007,US,Transport,2020-03-30,7,Sub_IG,,,0,0,0.7,4.242932523076064,2.979182187569627,0.20159958154436208,7,0.7761465728684953,0,0
2,Obligor_0002,7,Group_007,US,Transport,2020-06-30,8,Watchlist,7.0,1.0,0,1,0.8,5.314771101034276,2.7574423068387492,0.20466203058342186,5,0.39970369936176336,1,0
2,Obligor_0002,7,Group_007,US,Transport,2020-09-30,9,Watchlist,8.0,1.0,0,1,0.9,3.5258965246029197,1.9190698817875074,0.015140154442606912,7,0.8563350651015488,1,0
2,Obligor_0002,7,Group_007,US,Transport,2020-12-30,9,Watchlist,9.0,0.0,0,0,0.9,4.439859727649805,2.6133110128563715,0.24323986953579396,7,1.5533898921001084,1,0
2,Obligor_0002,7,Group_007,US,Transport,2021-03-30,9,Watchlist,9.0,0.0,0,0,0.9,4.178858060746908,2.5774245757456073,0.12060712978655533,7,0.30592461028176365,1,0
2,Obligor_0002,7,Group_007,US,Transport,2021-06-30,10,Default,9.0,1.0,0,1,1.0,5.9519212826118855,1.909124763137033,0.13895656109437604,14,0.2599156578909508,0,1
2,Obligor_0002,7,Group_007,US,Transport,2021-09-30,10,Default,10.0,0.0,0,0,1.0,4.6657797335870175,0.9957283219866806,0.05523584534884822,3,0.21122606048395653,0,1
2,Obligor_0002,7,Group_007,US,Transport,2021-12-30,10,Default,10.0,0.0,0,0,1.0,3.8548078151921583,1.9733790476998676,0.051791174754638555,7,0.40309573766948326,0,1
2,Obligor_0002,7,Group_007,US,Transport,2022-03-30,10,Default,10.0,0.0,0,0,1.0,5.156396549572753,3.866930927674413,0.028059042677463522,10,0.30831478832827947,0,1
2,Obligor_0002,7,Group_007,US,Transport,2022-06-30,10,Default,10.0,0.0,0,0,1.0,4.74092006357426,1.6076929709843073,0.18518260914627094,5,0.41667687090844024,0,1
2,Obligor_0002,7,Group_007,US,Transport,2022-09-30,10,Default,10.0,0.0,0,0,1.0,4.610149834620527,3.047305458176007,0.06559633326593302,4,0.37830686663316954,0,1
2,Obligor_0002,7,Group_007,US,Transport,2022-12-30,10,Default,10.0,0.0,0,0,1.0,4.537977630291921,2.0388570205676206,0.09540534056383705,9,0.6425987169475318,0,1
2,Obligor_0002,7,Group_007,US,Transport,2023-03-30,10,Default,10.0,0.0,0,0,1.0,4.510360654587435,1.1992710246636413,0.08493182301877307,7,0.8414849229727072,0,1
2,Obligor_0002,7,Group_007,US,Transport,2023-06-30,10,Default,10.0,0.0,0,0,1.0,5.495992220399652,1.7034033017806198,0.048958615682961934,6,0.558030417269013,0,1
2,Obligor_0002,7,Group_007,US,Transport,2023-09-30,10,Default,10.0,0.0,0,0,1.0,5.15665115659049,1.9831296262918983,0.09005225965720572,6,0.5120911128947643,0,1
2,Obligor_0002,7,Group_007,US,Transport,2023-12-30,10,Default,10.0,0.0,0,0,1.0,4.861423971058629,2.655211466278905,0.10439500051771684,8,0.5011641402417137,0,1
3,Obligor_0003,67,Group_067,BR,Utilities,2020-03-30,9,Watchlist,,,0,0,0.9,4.031232786207565,4.680045448819329,0.17043889584130686,5,0.2420365191920686,1,0
3,Obligor_0003,67,Group_067,BR,Utilities,2020-06-30,9,Watchlist,9.0,0.0,0,0,0.9,4.681774673628456,2.354664606014273,0.05504503318527504,6,0.6827518782238315,1,0
3,Obligor_0003,67,Group_067,BR,Utilities,2020-09-30,9,Watchlist,9.0,0.0,0,0,0.9,4.982439500320019,1.069140768708443,0.07882495809176251,3,0.5110677121552286,1,0
3,Obligor_0003,67,Group_067,BR,Utilities,2020-12-30,9,Watchlist,9.0,0.0,0,0,0.9,5.009058113781643,0.6454225987218161,0.13550536967242238,5,0.089317204583905,1,0
3,Obligor_0003,67,Group_067,BR,Utilities,2021-03-30,9,Watchlist,9.0,0.0,0,0,0.9,4.912619068094238,1.8782154306717338,0.11026954723337118,4,0.5630075025733788,1,0
3,Obligor_0003,67,Group_067,BR,Utilities,2021-06-30,9,Watchlist,9.0,0.0,0,0,0.9,4.1541851332207305,1.171912100016713,0.1111905864441887,6,0.40581981826330277,1,0
3,Obligor_0003,67,Group_067,BR,Utilities,2021-09-30,9,Watchlist,9.0,0.0,0,0,0.9,3.1177763851855866,2.8579062975392633,0.05944633854252618,10,0.6495913607484222,1,0
3,Obligor_0003,67,Group_067,BR,Utilities,2021-12-30,8,Watchlist,9.0,-1.0,1,0,0.8,5.859733132036354,3.165255723506415,0.15492309965764317,3,0.6562059269501944,1,0
